"Compound"	"Slope"	"Y.Intercept"	"Peak.start"	"Peak.end"	"my.detector"
"Acetate"	0.0391923729282041	-0.305515254044821	17.7	18.9	"RID-10A"
"Acetate"	0.0354322036708289	-0.330260208484908	17.5	18.6	"SPD-20A 210nm"
"Ethanol"	0.0627702054050426	-3.82662296068326	26.3	27.5	"RID-10A"
"Lactate"	0.0180029599412347	-0.576873968264521	15	16	"RID-10A"
"Lactate"	0.0181539279236047	-0.605787049667452	14.8	15.7	"SPD-20A 210nm"
"Formate"	0.072371804737286	-0.254975591221198	16.3	17.4	"RID-10A"
"Formate"	0.0291571525343664	-0.247777270892572	16.1	17.1	"SPD-20A 210nm"
"Glucose"	0.543463966368936	-0.60594395721294	10.7	11.7	"RID-10A"
"Butyrate"	0.032822644467776	-0.415363624209205	24.5	26.5	"SPD-20A 210nm"
"Butanol"	0.0244364380076263	-0.281311685040807	43.8	46	"RID-10A"
"Acetone"	0.0826229062057692	-0.419664712708672	25.7	27	"SPD-20A 260nm"
