"Sample"	"Compound"	"Area"	"Concentration"	"Description"
"blanc"	"Acetate"	3.5589510975272	0.317380866055093	"Blank       "
"blanc"	"Ethanol"	-9.43912614615149	-0.669339712975402	"Blank       "
"blanc"	"Lactate"	-2.49020005557107	0.725099664229205	"Blank       "
"blanc"	"Glucose"	0.08660739094196	0.519751462335476	"Blank       "
"blanc1"	"Acetate"	10.0656335093084	0.578460676208639	"Blank 1       "
"blanc1"	"Ethanol"	10.8655015282019	0.636338625104766	"Blank 1       "
"blanc1"	"Lactate"	4.71847318699641	0.885581148062852	"Blank 1       "
"blanc1"	"Glucose"	0.270725201444857	0.520709841143829	"Blank 1       "
"blanc2"	"Acetate"	-0.1937954987497	0.166802382750552	"Blank 2       "
"blanc2"	"Ethanol"	12.1516379549872	0.719042947449494	"Blank 2       "
"blanc2"	"Lactate"	-0.657628507918838	0.765896880485578	"Blank 2       "
"blanc2"	"Glucose"	2.4601875520979	0.532106534993392	"Blank 2       "
"blanc3"	"Acetate"	0.561343428730205	0.197102236861925	"Blank 3       "
"blanc3"	"Ethanol"	-0.949472075576537	-0.123417000403583	"Blank 3       "
"blanc3"	"Lactate"	-0.625744651292043	0.76660668774825	"Blank 3       "
"blanc3"	"Glucose"	7.65063767713288	0.559124113532163	"Blank 3       "
"H3"	"Acetate"	29.0174812447906	1.33890117348567	"C.phy GS2 10 g/L son de blé 2024-07-31 F1 0 jours T0   "
"H3"	"Ethanol"	2.2555432064458	0.082679811321665	"C.phy GS2 10 g/L son de blé 2024-07-31 F1 0 jours T0   "
"H3"	"Lactate"	18.359616560156	1.1892640666872	"C.phy GS2 10 g/L son de blé 2024-07-31 F1 0 jours T0   "
"H3"	"Glucose"	154.314531814398	1.32254601013092	"C.phy GS2 10 g/L son de blé 2024-07-31 F1 0 jours T0   "
"H4"	"Acetate"	3.18894831897712	0.302534551287181	"C.phy GS2 10 g/L son de blé 2024-08-02 F1 2 jours T1   "
"H4"	"Ethanol"	23.2754529035839	1.43435398137406	"C.phy GS2 10 g/L son de blé 2024-08-02 F1 2 jours T1   "
"H4"	"Lactate"	18.5336315643238	1.19313803699193	"C.phy GS2 10 g/L son de blé 2024-08-02 F1 2 jours T1   "
"H4"	"Glucose"	180.633492636849	1.45954272023313	"C.phy GS2 10 g/L son de blé 2024-08-02 F1 2 jours T1   "
"H5"	"Acetate"	200.252575715477	8.20968771673012	"C.phy GS2 10 g/L son de blé 2024-08-05 F1 5 jours T2   "
"H5"	"Ethanol"	160.682383995554	10.2702339741636	"C.phy GS2 10 g/L son de blé 2024-08-05 F1 5 jours T2   "
"H5"	"Lactate"	227.930034731871	5.85477886311819	"C.phy GS2 10 g/L son de blé 2024-08-05 F1 5 jours T2   "
"H5"	"Glucose"	52.1021269797187	0.790505125673154	"C.phy GS2 10 g/L son de blé 2024-08-05 F1 5 jours T2   "
"H6"	"Acetate"	309.62676576827	12.5983132815768	"C.phy GS2 10 g/L son de blé 2024-08-07 F1 7 jours T3   "
"H6"	"Ethanol"	69.8277966101699	4.42787780950737	"C.phy GS2 10 g/L son de blé 2024-08-07 F1 7 jours T3   "
"H6"	"Lactate"	91.5157293692702	2.81788574782847	"C.phy GS2 10 g/L son de blé 2024-08-07 F1 7 jours T3   "
"H6"	"Glucose"	46.9045790497377	0.763450601301563	"C.phy GS2 10 g/L son de blé 2024-08-07 F1 7 jours T3   "
