"Compound"	"Slope"	"Y.Intercept"	"Peak.start"	"Peak.end"	"Detector"
"Acetate"	0.0382847538692074	-0.328211673003225	17.7	18.9	"RID-10A"
"Acetate"	0.0346161329030084	-0.459955655147211	17.7	18.6	"SPD-20A 210nm"
"Ethanol"	0.0461268913519894	-0.361997895924115	26.1	27.7	"RID-10A"
"Lactate"	0.0174412419902125	-0.610244062079531	15.1	16.1	"RID-10A"
"Lactate"	0.0174017742519833	-0.665516304201045	14.9	15.8	"SPD-20A 210nm"
"Formate"	0.0697913711881833	-0.383541198050359	16.4	17.4	"RID-10A"
"Formate"	0.0280131171970096	-0.402489602702736	16.2	17.3	"SPD-20A 210nm"
"Glucose"	0.390796132498597	3.50938356547938	10.7	11.7	"RID-10A"
"Butyrate"	0.031857855956842	-0.432969760120699	24.5	26.5	"SPD-20A 210nm"
"Acetone"	0.0759495465481665	-0.291961617751955	25.5	27	"SPD-20A 260nm"
